,magnitude,data,hora,periodo,subnational,city,depth,felt,continent,latitude,longitude,mmi,cdi,impacto,magnitude_range,media por magnitude,label_periodo,label_continente,label_impacto,magnitude_por_depth,factor_magnitude_depth,magnitude_quadrada
0,0.4390243902439025,2024-09-17,00:49:42,Noite,Texas,Tarzan-Lenorah,0.14646292380107784,0.0103000228526656,North America,0.680375228751684,0.1743485428947587,0.33333333333333326,0.6666666666666666,Baixo,0.4285714285714285,0.19450780251911814,1,3,1,0.3464035526301975,0.1179143846120142,0.33904853900024146
1,0.5121951219512194,2024-09-17,00:49:42,Noite,Texas,Tarzan-Lenorah,0.21754212429224368,0.011110748370387299,North America,0.680514692406651,0.1743099951370521,0.33333333333333326,0.6666666666666666,Médio,0.5714285714285714,0.3948153806977336,1,3,2,0.3373344217494674,0.18709074179555713,0.4107703453272157
2,0.1707317073170732,2024-09-16,11:22:08,Manhã,California,Los Angeles,0.38031243604611503,0.008596955154364315,North America,0.6952996278287207,0.12464269193818128,0.16666666666666663,0.4444444444444444,Baixo,0.2857142857142857,0.22567207403956768,0,3,1,0.32473346905725353,0.2401232674641079,0.11325766723013767
3,0.2195121951219512,2024-09-14,17:01:06,Tarde,Texas,Van Horn,0.22008322532232755,2.7205554285963022e-05,North America,0.6736577293707775,0.16721424250690892,0.16666666666666663,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,2,3,1,0.3321317641907327,0.14582868159312976,0.14996377686549142
4,0.2682926829268292,2024-09-14,17:01:06,Tarde,Texas,Van Horn,0.30916160720376556,2.1764443428770418e-05,North America,0.6735263116959048,0.16714604262788962,0.16666666666666663,0.3333333333333333,Baixo,0.4285714285714285,0.19450780251911814,2,3,1,0.3279480708555041,0.21562984708408187,0.18860178700796906
5,0.056097560975609695,2024-09-13,11:56:39,Manhã,California,Los Angeles,0.3820178729790572,0.0025682043245949093,North America,0.6952629739194025,0.12462786587752489,0.0,0.4444444444444444,Baixo,0.2857142857142857,0.22567207403956768,0,3,1,0.3235963258939971,0.21113788721903343,0.034602752958222655
6,0.10487804878048779,2024-09-12,16:37:32,Tarde,California,Los Angeles,0.3844054846851763,0.0012732199405830695,North America,0.6952191680277783,0.12466641363523145,0.0,0.4444444444444444,Baixo,0.2857142857142857,0.22567207403956768,2,3,1,0.32401247461678545,0.22533467700711274,0.06676889640183534
7,0.10731707317073169,2024-09-12,15:40:49,Tarde,California,Los Angeles,0.3813356982058803,0.001224249942868336,North America,0.6953032038198736,0.12466344842310023,0.0,0.4444444444444444,Baixo,0.2857142857142857,0.22567207403956768,2,3,1,0.3241014015211181,0.22416977026099402,0.06842791596232792
8,0.41219512195121955,2024-09-12,14:28:21,Tarde,California,Los Angeles,0.395661368442595,0.1011611330569249,North America,0.695321977773427,0.12463972672604995,0.33333333333333326,0.5555555555555556,Baixo,0.4285714285714285,0.19450780251911814,2,3,1,0.3266196486991922,0.3154946033971579,0.3138396522579088
9,0.12195121951219512,2024-09-11,08:31:01,Manhã,Nevada,Alamo,0.41101030083907497,0.0,North America,0.7269909554243762,0.1350327952461719,0.0,0.0,Baixo,0.2857142857142857,0.22567207403956768,0,3,1,0.32363808165272595,0.24579006557712255,0.07848345810190774
10,0.19512195121951215,2024-09-10,18:03:00,Noite,Texas,Van Horn,0.21833344702912882,2.7205554285963022e-05,North America,0.6736040895034825,0.16749297244724892,0.16666666666666663,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,1,3,1,0.33185016113206317,0.14106635119543148,0.13136923448442403
11,0.07317073170731703,2024-09-09,09:50:37,Manhã,Texas,Van Horn,0.24806262364417764,5.4411108571926045e-06,North America,0.6731123907199453,0.16691772129378135,0.16666666666666663,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,0,3,1,0.3280691572644728,0.13990220391710118,0.045641149480801696
12,0.19512195121951215,2024-09-08,02:37:22,Noite,Texas,Van Horn,0.216587079609796,1.0882221714385209e-05,North America,0.6738007690168974,0.16720831208264642,0.16666666666666663,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,1,3,1,0.3319827484222937,0.1399297200192788,0.13136923448442403
13,0.2195121951219512,2024-09-08,02:37:22,Noite,Texas,Van Horn,0.34961457125315504,5.4411108571926045e-06,North America,0.6735102197357163,0.16716679911280857,0.16666666666666663,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,1,3,1,0.32602602599742647,0.23235332778337645,0.14996377686549142
14,0.08536585365853655,2024-09-08,02:16:27,Noite,Utah,Tremonton,0.17838870318575623,7.073444114350386e-05,North America,0.7624880316046099,0.14358150182064022,0.16666666666666663,0.4444444444444444,Baixo,0.2857142857142857,0.22567207403956768,1,3,1,0.33325431320016585,0.10197607676466726,0.0536706109635354
15,0.2292682926829268,2024-09-07,17:34:20,Tarde,California,San Bernardino,0.173613479773518,0.014995701522422819,North America,0.6949590146713976,0.12826321595046913,0.33333333333333326,0.5555555555555556,Baixo,0.2857142857142857,0.22567207403956768,2,3,1,0.3368688043306502,0.1159187369466474,0.15753682685341705
16,0.1097560975609756,2024-09-07,17:05:45,Tarde,California,San Bernardino,0.21181526707142367,0.004483475346326706,North America,0.6948964348262202,0.12824245946555018,0.16666666666666663,0.4444444444444444,Baixo,0.2857142857142857,0.22567207403956768,2,3,1,0.33085507648707224,0.12463742715681553,0.07009176527408842
