,magnitude,data,hora,periodo,depth,felt,continent,latitude,longitude,mmi,cdi,impacto,magnitude_range,media por magnitude,label_periodo,label_continente,label_impacto,magnitude_por_depth,factor_magnitude_depth,magnitude_quadrada
466,0.07317073170731703,2024-09-09,09:50:37,Manhã,0.011367981080198139,5.4411108571926045e-06,North America,0.6625755952172365,0.20917563281903606,0.33333333333333326,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,0,3,1,0.3280691572644728,0.0052733152093706135,0.045641149480801696
467,0.19512195121951215,2024-09-08,02:37:22,Noite,0.009925549391718365,1.0882221714385209e-05,North America,0.6632856692309252,0.20944802225810838,0.33333333333333326,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,1,3,1,0.3319827484222937,0.00527435237015903,0.13136923448442403
468,0.2195121951219512,2024-09-08,02:37:22,Noite,0.016021808416685813,5.4411108571926045e-06,North America,0.6629859626667061,0.2094091094810981,0.33333333333333326,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,1,3,1,0.32602602599742647,0.008758063154415976,0.14996377686549142
469,0.08536585365853655,2024-09-08,02:16:27,Noite,0.008175030050660177,7.073444114350386e-05,North America,0.7547681008932178,0.1873010931710855,0.33333333333333326,0.4444444444444444,Baixo,0.2857142857142857,0.007044967780753052,1,3,1,0.33325431320016585,0.0038437707308292945,0.0536706109635354
470,0.2292682926829268,2024-09-07,17:34:20,Tarde,0.00795619559423715,0.014995701522422819,North America,0.685110762324395,0.1729422784542733,0.6666666666666665,0.5555555555555556,Baixo,0.2857142857142857,0.007044967780753052,2,3,1,0.3368688043306502,0.004369309571091514,0.15753682685341705
471,0.1097560975609756,2024-09-07,17:05:45,Tarde,0.009706871245621355,0.004483475346326706,North America,0.6850462101413324,0.1729228220657681,0.33333333333333326,0.4444444444444444,Baixo,0.2857142857142857,0.007044967780753052,2,3,1,0.33085507648707224,0.004697942004346915,0.07009176527408842
472,0.02195121951219503,2024-09-07,14:31:32,Tarde,0.0,3.264666514315563e-05,North America,0.7290025581107973,0.15863349445076003,0.33333333333333326,0.4444444444444444,Baixo,0.2857142857142857,0.007044967780753052,2,3,1,0.0,0.0,0.013235933349432516
473,0.3121951219512197,2024-09-07,14:30:36,Tarde,0.0006408723366674324,0.0013113077165834177,North America,0.7288845198331971,0.15860014064189398,0.6666666666666665,0.5555555555555556,Baixo,0.4285714285714285,0.014972186327290811,2,3,1,1.0,0.0003209032732398115,0.2250277710697899
474,0.1146341463414634,2024-09-06,12:07:06,Tarde,0.008659592061311162,0.0002666144320024376,North America,0.7281624575569396,0.1673499565010742,0.33333333333333326,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,2,3,1,0.33282637853621816,0.004212238065703497,0.07343395315141274
475,0.07804878048780484,2024-09-05,20:04:29,Noite,0.018194521948314425,0.00014690999314420031,North America,0.7039258793390595,0.16576843006401148,0.0,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,1,3,1,0.32350700083746464,0.008497077386596155,0.04883844482009178
476,0.024390243902439046,2024-09-04,21:31:11,Noite,0.013364532874406216,0.0,North America,0.719335407610149,0.17417636938231523,0.0,0.0,Baixo,0.2857142857142857,0.007044967780753052,1,3,1,0.3256039707431171,0.005835956219747551,0.01473074136681965
477,0.024390243902439046,2024-09-04,21:31:10,Noite,0.008206292115863465,0.0,North America,0.7193538510910241,0.17419860525489256,0.0,0.0,Baixo,0.2857142857142857,0.007044967780753052,1,3,1,0.3319070301908991,0.0035832694117853793,0.01473074136681965
478,0.0,2024-09-04,21:30:35,Noite,0.008206292115863465,0.0,North America,0.7196664680918559,0.1743848306877277,0.0,0.0,Baixo,0.0,0.0,1,3,1,0.3313956376547585,0.0034731674172613237,0.0
479,0.1121951219512195,2024-09-03,12:11:58,Tarde,0.015130839558392065,5.985221942911865e-05,North America,0.7164858898149566,0.16968472312169408,0.0,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,2,3,1,0.32543572709286117,0.007354879295403608,0.07176044433711667
480,0.09756097560975607,2024-09-01,11:01:44,Manhã,0.0056428027691937345,0.00038631887086067494,North America,0.7164969559034815,0.17048799401855025,0.33333333333333326,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,0,3,1,0.3419278634387985,0.0026857179524252804,0.06182081622796423
481,0.12195121951219512,2024-09-01,08:47:07,Manhã,0.037317527233166545,2.1764443428770418e-05,North America,0.8079508001704178,0.1852442749576823,0.0,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,0,3,1,0.3198421207531256,0.01837745421199364,0.07848345810190774
482,0.14634146341463417,2024-08-31,07:56:25,Manhã,0.01476194718899325,0.0,North America,0.6631335105137063,0.20976210395826322,0.33333333333333326,0.0,Baixo,0.2857142857142857,0.007044967780753052,0,3,1,0.3260659064352534,0.007458507292649649,0.09562907510263227
483,0.07317073170731703,2024-08-31,07:56:24,Manhã,0.009925549391718365,0.0,North America,0.6632856692309252,0.20967593995202605,0.33333333333333326,0.0,Baixo,0.2857142857142857,0.007044967780753052,0,3,1,0.32988684225758924,0.004602741213761745,0.045641149480801696
